公告日期,除权日,股权登记日,每股现金股利(元),每股送红股,每股转增股份,现金到账日,股份到账日
"2019/06/11","2019/06/19","2019/06/18","0.174","null","null","2019/06/19","null",
"2018/05/19","2018/05/25","2018/05/24","0.178","null","null","2018/05/25","null",
"2017/07/06","2017/07/13","2017/07/12","0.17","null","null","2017/07/13","null",
"2016/06/30","2016/07/07","2016/07/06","0.167","null","null","2016/07/07","null",
"2015/07/03","2015/07/10","2015/07/09","0.182","null","null","2015/07/10","null",
"2014/06/26","2014/07/03","2014/07/02","0.177","null","null","2014/07/03","null",
"2013/06/20","2013/06/28","2013/06/27","0.157","null","null","2013/07/22","null",
"2012/06/12","2012/06/20","2012/06/19","0.132","null","null","2012/07/16","null",
"2011/06/10","2011/06/17","2011/06/16","0.054","null","null","2011/07/15","null",
"2010/08/27","null","2010/06/30","0.119","null","null","null","null",
